Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,5834.99,2793.58,102000.00,26,0,19,0,11,0,19,0,1,0.8923668732685316,204
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,3695.10,366.38,24000.00,15,0,3,0,10,0,11,0,1,0.682487256472003,96
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,40831.93,24317.51,332000.00,415,0,44,0,550,0,141,0,4,0.7417506243169838,1404
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,9013.07,10560.00,1966900.00,151,24,0,20,81,0,96,7,3,0.8302485843945496,1176
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,595.10,280.00,68400.00,6,11,0,5,21,0,4,0,1,0.18186865304325528,36
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,7237.21,4810.00,946000.00,91,20,0,20,75,0,83,1,2,0.9089299472189744,480
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,5124.20,2460.00,753900.00,56,5,0,48,24,0,54,1,1,0.9666666666666667,360
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1166.80,0.00,211200.00,8,81,0,11,2,107,9,0,1,0.0,96
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,39035.69,0.00,0,102,0,14,0,60,0,106,2,1.6,420
